,formula_label,symbol_set,subject
2092,Transfer operator,"{g, f, L, Φ, y, x}",Fields of mathematics
2093,Transfer-matrix method,"{cos, n, θ, P, W, Y, X, sin}",Auxiliary sciences of history
2094,Translation operator,"{x, r, T}",
2095,Transmission disequilibrium test,"{i, h, j, b}",Branches of biology
2096,Transvectant,"{Q, Ω, r, t, n}",Fields of mathematics
2097,Treynor–Black model,"{F, i, M, R, α, ϵ, r, β}",Fields of mathematics
2098,Trident curve,"{a, c, b, d, y, x}",Fields of mathematics
2099,Trigamma function,"{ln, Γ, d, z, ψ}",Fields of mathematics
2100,Trivialism,"{∀, T, p}",Life sciences
2101,Trochoidal wave,"{ϕ, ψ}",Physical sciences
2102,Trouton's ratio,"{a, b, g, i, K, J, m, l, o, L, p, T, v, n}",Environmental studies
2103,True arithmetic,"{a, #, d, f, i, φ, l, o, n, θ, y, N}",Formal theories of arithmetic
2104,Trust region,"{a, c, f, l, u, t, x, Δ}",Life sciences
2105,Tschirnhausen cubic,"{a, cos, θ, r, y, x}",Life sciences
2106,Tsiolkovsky rocket equation,"{ln, m, f, Δ, v}",Professional studies
2107,Tsirelson's bound,"{A, B}",Subfields of physics
2108,Tukey lambda distribution,"{ω, σ, Φ, n, P, μ, X}",Life sciences
2109,Tunnell's theorem,"{ω, g, i, n, w, y}",Life sciences
2110,Turbine Inlet Air Cooling,"{A, e, p, i, Θ, P, u, v, x}",
2111,Tutte matrix,"{A, E, i, ∀, j, u, v, x}",Fields of mathematics
2112,Tweedie distribution,"{a, Var, Y, E, p}",Life sciences
2113,Two-dimensional flow,"{i, j, t, v, y, x, z}",Physical sciences
2114,Two-photon absorption,"{I, x, c, e, α}",Subfields of physics
2115,Two-point tensor,"{Q, p, e, q}",Fields of mathematics
2116,Ultrafinitism,{e},Epistemological theories
2117,Ultralimit,"{x, ϵ, d, ω, n}",Fields of mathematics
2118,Ultrametric space,"{R, M, d}",Fields of mathematics
2119,Ultraviolet photoelectron spectroscopy,"{I, h, K, E, ν}",Subfields of physics
2120,Unary coding,"{P, n}",Fields of mathematics
2121,Undersampling,"{H, s, n, L, f}",Applied sciences
2122,Uniform boundedness principle,"{Y, x, ∞, T, F}",Life sciences
2123,Uniformization theorem,"{E, d, G, F, s, y, x}",Fields of mathematics
2124,Uniformly Cauchy sequence,"{d, g, f, S, u, x}",Fields of mathematics
2125,Uniformly distributed measure,"{B, r, μ, ∞, y, x}",Fields of mathematics
2126,Unimodular lattice,"{a, b, m, n}",Fields of mathematics
2127,Unit disk,"{Q, P, D}",Fields of mathematics
2128,Unitary representation,"{H, U, G, π}",Fields of mathematics
2129,Univalent function,"{a, ϕ, z}",Fields of mathematics
2130,Upper hybrid oscillation,"{B, e, k, n, T, ϕ}",Subfields of physics
2131,Upper-convected Maxwell model,"{η, λ, T, ∇, D}",Environmental studies
2132,Upwind scheme,"{a, i, n, u, t, x, Δ}",Fields of mathematics
2133,Urania Propitia,"{e, M, sin, E}",Political science theories
2134,Ursell number,"{H, λ, U, h}",Physical sciences
2135,V-statistic,"{θ, chord, sin, π}",Fields of mathematics
2136,Vacuum angle,"{Ψ, A, ϕ, U, d}",Subfields of physics
2137,Vague topology,"{I, X, μ, d, f}",Fields of mathematics
2138,Value product,"{o, c, G, P, f, s, C, O, n, p, S, r, u, t, V}",Political science theories
2139,Van Houtum distribution,"{a, p, b, δ}",Life sciences
2140,Van Hove singularity,"{n, k, λ, L, π}",Subfields of physics
2141,Van der Pol oscillator,"{x, μ, t, d}",Life sciences
2142,Van der Waals equation,"{a, b, k, p, T, v}",Life sciences
2143,Van der Waerden's theorem,"{k, ε, W}",Fields of mathematics
2144,Vandermonde polynomial,"{i, X, V, j, n}",Fields of mathematics
2145,Vantieghems theorem,"{k, n, mod}",Fields of mathematics
2146,Vapnik–Chervonenkis theory,"{Q, d, f}",Life sciences
2147,Variable hybridization,"{i, r, λ, o}",
2148,Variable kernel density estimation,{ln},Applied sciences
2149,Varian's theorems,"{y, x, A, u}",Life sciences
2150,Vector algebra relations,{A},Fields of mathematics
2151,Vector area,"{S, n}",Fields of mathematics
2152,Vector calculus identities,"{A, grad, ∇}",Fields of mathematics
2153,Vector optimization,"{x, S, C, f}",Life sciences
2154,Veech surface,"{j, m, d, g}",
2155,Vehicle-specific power,"{a, g, ψ, V, P, S, v, ϕ, sin, ζ}",Applied sciences
2156,Venn diagram,"{i, N, y, x, n, sin}",Fields of mathematics
2157,Versor,{i},Fields of mathematics
2158,Vickers hardness test,"{A, d, sin}",Applied sciences
2159,View factor,"{i, S, j, F, n}",Subfields of physics
2160,Vinculum,"{a, c, b}",
2161,Virasoro algebra,"{m, c, δ, L, n}",Subfields of physics
2162,Virbhadra–Ellis lens equation,"{D, θ, s, α, tan, β, d}",Subfields of physics
2163,Virtual displacement,"{ϵ, ∂, δ}",Physical sciences
2164,Vis viva,"{i, m, v}",Categories by parameter
2165,Viscosity solution,"{x, u, D, F}",Fields of mathematics
2166,Vitale's random Brunn–Minkowski inequality,"{R, K, n, v}",Fields of mathematics
2167,Vitali covering lemma,"{J, B, j}",Life sciences
2168,Viviani's curve,"{a, x, z, y}",Life sciences
2169,Volatility smile,"{a, A, C, F, M, l, R, T, y, x}",Fields of mathematics
2170,Volodin space,"{B, σ, n, R, U, X}",Fields of mathematics
2171,Volterra integral equation,"{a, d, f, K, s, t, x}",Life sciences
2172,Von Neumann algebra,"{′, M, N}",Fields of mathematics
2173,Von Neumann entropy,"{S, Tr, log, ρ}",Fields of mathematics
2174,Von Neumann's theorem,{T},Fields of mathematics
2175,Von Zeipel theorem,"{g, G, F, M, L, π, P}",Stellar astronomy
2176,Wallis product,"{∞, π, n}",Life sciences
2177,Wallis' integrals,"{d, n, W, x, π, sin}",Physical sciences
2178,Wannier function,"{e, ψ, i, k, r, u}",Subfields of physics
2179,Washburn's equation,"{d, g, h, K, S, T}",Life sciences
2180,Water splitting,"{a, H, e, t, O}",Applied sciences
2181,Wave field synthesis,"{A, d, G, ∂, n, P, w, z}",Life sciences
2182,Wave front set,"{C, f, N, ξ, ϕ, Γ}",Fields of mathematics
2183,Wavelet vanishing moment,"{f, K, p, t, v, α, ε}",Applied sciences
2184,Waveshaper,"{a, x, t, y, f}",Political science theories
2185,Weak convergence,"{y, x, n}",
2186,Weak solution,"{x, ∂, u, t}",Fields of mathematics
2187,Weak topology,"{Y, X, σ}",Fields of mathematics
2188,Weibull distribution,"{x, k, λ, e, f}",Applied sciences
2189,Weierstrass factorization theorem,"{a, e, f, h, n, p, λ, exp, ∞, z}",Fields of mathematics
2190,Weierstrass point,"{P, L}",Fields of mathematics
2191,Weierstrass substitution,"{Q, P, z, f}",
2192,Weighted average cost of carbon,"{a, C, E, L, o, V}",Professional studies
2193,Weighted sum model,"{a, A, i, j, m, n, w}",Fields of mathematics
2194,Weil cohomology theory,"{i, X, C, n, H}",Cohomology theories
2195,Weil restriction,"{e, S, k, L, s, R, X}",Fields of mathematics
2196,Weinberg angle,"{G, F, i, m, M, p, s, R}",Subfields of physics
2197,Weinberg–Witten theorem,"{e, H, r, T, ∞, β}",Fields of mathematics
2198,Weingarten equations,"{∂, r, u, v}",Fields of mathematics
2199,Weyl tensor,"{C, g, i, k, m, n, R, ℓ}",Fields of mathematics
2200,Weyl's inequality,"{a, q, c, t}",Life sciences
2201,Weyl–Brauer matrices,"{q, p, k, n}",Fields of mathematics
2202,Wheeler–Feynman absorber theory,"{J, O, π, q, S, r}",Subfields of physics
2203,White noise,"{a, w, r, t, W, d}",Branches of philosophy
2204,White's law,"{k, n, K, N}",Humanities
2205,Wick rotation,"{d, s, t, y, x, z}",Subfields of physics
2206,Widom scaling,"{f, M, o, r, t, β}",Subfields of physics
2207,Wiedemann–Franz law,"{κ, σ, L, T}",Subfields of physics
2208,Wien's displacement law,"{λ, b, T}",Subfields of physics
2209,Wiener equation,"{x, t, d, g, v}",Fields of mathematics
2210,Wiener–Hopf method,"{C, d, i, Φ, π, α, z}",Fields of mathematics
2211,Wigner quasiprobability distribution,"{C, e, d, p, i, φ, ℏ, π, q, P, μ, t, ∞, y, x}",Articles containing video clips
2212,Wigner's theorem,"{Ψ, e, i, H, ∅, R, α}",Fields of mathematics
2213,Wilhelmy plate,"{θ, cos, γ, l, F}",Applied sciences
2214,Wilkinson matrix,"{q, B, v, F}",Fields of mathematics
2215,Wilkinson's polynomial,"{i, x, w}",Applied sciences
2216,Williams %R,"{a, c, e, d, g, i, h, l, o, N, s, R, t, w, y, %}",Life sciences
2217,Williams' p + 1 algorithm,"{A, j, V}",Sociological theories
2218,Wiman's sextic,"{y, x, z}",Fields of mathematics
2219,Wind chill,"{a, C, I, T, W, V}",Branches of thermodynamics
2220,Wirtinger inequality,"{k, ω, ζ}",
2221,Wishart distribution,"{i, N, p, X, V, x}",Life sciences
2222,Wold's decomposition,"{A, α, S, U, V}",Fields of mathematics
2223,Wold's theorem,"{b, j, t, ∞, Y, ε, η}",Auxiliary sciences of history
2224,Wolfram axiom,"{a, c, b}",Fields of mathematics
2225,Womersley number,"{α, μ, ρ, ω, L}",Life sciences
2226,Wonderland model,"{y, x, z}",Fields of mathematics
2227,Wood method,"{i, c, K, η}",Professional studies
2228,Woodall number,"{W, n}",Fields of mathematics
2229,Woodbury matrix identity,"{A, C, U, V}",Life sciences
2230,Wrapped Lévy distribution,"{i, x, ϕ, j}",Life sciences
2231,Y-Δ transform,"{a, R, c, b}",Subfields of physics
2232,YIQ,"{B, G, I, Q, R, Y}",Applied sciences
2233,Yang–Mills theory,"{a, g, f, F, Tr, L, μ, ν}",Gauge theories
2234,Yang–Mills–Higgs equations,"{A, D, Φ, F}",Fields of mathematics
2235,Yield,"{y, σ}",
2236,Young symmetrizer,"{P, S, λ, g, n}",Fields of mathematics
2237,Young tableau,"{dim, h, k, o, n, λ, Y, x, π}",Fields of mathematics
2238,Yukawa interaction,"{g, ψ, i, V, ϕ, γ}",Subfields of physics
2239,Yukawa potential,"{e, g, k, m, r, V}",Subfields of physics
2240,Z-matrix,"{i, Z, z, j}",
2241,Z-test,"{E, S, σ, n}",Fields of mathematics
2242,Z-transform,"{z, ∞, n, x, X, Z}",Pierre-Simon Laplace
2243,Zadoff–Chu sequence,"{j, π, q, N, u, x, n}",Applied sciences
2244,Zariski topology,"{A, f, ∀, n, S, V, x}",Fields of mathematics
2245,Zeller's congruence,"{q, h, K, J, m}",Applied sciences
2246,Zero-crossing rate,"{c, z, s, R, t, r, T}",Fields of mathematics
2247,Zero-fuel weight,"{B, F, O, T, W, Z}",Professional studies
2248,Zeta distribution,"{k, s, ζ, f}",Applied sciences
2249,Zeuthen strategy,"{λ, z}",Applied sciences
2250,Zipf's law,"{f, H, k, N, s, n}",Humanities
2251,Zolotarev's lemma,"{a, p}",Fields of mathematics
2252,Zone melting,"{a, o, c, e, g, f, i, k, O, n, S, r, t}",Physical sciences
2253,absolute condition number,"{x, K, D, g}",
2254,absolute deviation,"{i, x, m, D, X}",
2255,absolute difference,"{Y, X}",
2256,absolute magnitude,"{lg, m, M, d}",
2257,absorbance (chemistry),"{A, e, log, i, Φ, T, t}",
2258,absorbing set,"{F, ∀, S, r, α, x}",
2259,acceleration of the universe,"{a, c, G, ρ, π, P}",
2260,acentric factor,"{a, log, ω, p, s, r, t, T}",
2261,acid dissociation constant,"{A, H, K, a, O}",
2262,activity,"{a, e, i, R, μ, T}",
2263,adaptation,"{a, o, e, d, i, h, l, O, n, p, s, R, t}",
2264,adaptive system,"{P, S, E}",
2265,additive function,"{a, b, f}",
2266,admissable set (well-posed problem),"{x, ∃, D, g, F}",
2267,admittance,"{R, G}",
2268,adsorption,"{x, k, m, P, n}",
2269,aeroelasticity,"{d, G, J, M, θ, y}",
2270,affine rotation,"{Q, P, r, Ω}",
2271,affine transformation,"{Q, φ, P, f}",
2272,aggregate demand,"{A, C, D, G, I, M, X}",
2273,airport reference temperature,"{a, m, T}",
2274,algebra over a field,"{A, B, H, K, m, o}",
2275,algebraic curve,"{a, i, k, P, y, x}",
2276,algebraic cycle,"{Y, f}",
2277,algebraic extension,"{y, p, N}",
2278,algebraic torus,"{d, F, L, q, S, u, t}",
2279,almost Mathieu operator,"{cos, ω, H, n, λ, u, α, π}",
2280,almost everywhere,"{a, x, b, d, f}",
2281,amplitude versus offset,"{Z, R}",
2282,analysis of algorithms,{T},
2283,analytic torsion,"{i, s, λ, ζ, j}",
2284,angular resolution,"{θ, λ, D, sin}",
2285,angular velocity,"{θ, d, ω, t}",
2286,annihilator,"{A, ∀, S, n, s, R, r}",
2287,antisymmetric relation,"{a, ∀, R, b, X}",
2288,arc length,"{f, i, L, N, r, t, ∞}",
2289,arcoth,"{ln, x, arcoth}",
2290,arcsch,"{ln, x, arcsch}",
2291,area of a disk,"{A, r, π}",
2292,arithmetic mean,"{i, A, a, n}",
2293,arithmetico-geometric sequence,"{a, r, b, d, n}",
2294,arsech,"{ln, x, arsech}",
2295,arsinh,"{ln, arsinh, x}",
2296,associative algebra,"{y, x, r}",
2297,astroid,"{y, x, R}",
2298,asymmetric relation,"{a, b, ¬, ∀, R, X}",
2299,asymptote,"{x, ∞}",
2300,asymptotic equipartition property,"{log, H, n, p, ∞, X}",
2301,at rest,{v},
2302,atlas,"{I, i, S, U}",
2303,atomic layer deposition,"{a, b, F, s, S, R}",
2304,axiom of union,"{A, c, B, D, ∀, ∃}",
2305,axion,"{ln, r, T}",
2306,balance spring,"{I, κ, T, π}",
2307,band matrix,"{a, i, k, j}",
2308,barycentric coordinate system,"{α, n, M, P}",
2309,baryon number,"{B, n}",
2310,base,"{χ, x, X}",
2311,basic hypergeometric series,"{a, b, k, j, m, n, q, ∞, ϕ, z}",
2312,basis,"{a, b}",
2313,beam,"{a, A, B, e, m, L, O}",
2314,bel,"{ln, p, B, N}",
2315,belief propagation,"{i, x, p, X}",
2316,bending,"{E, d, I, M, w, x}",
2317,beta-binomial distribution,"{H, #, E, C, F}",
2318,bifolium,"{a, x, y}",
2319,big O notation,"{x, f, O, g, ∞}",
2320,binary function,"{Y, X, Z, f}",
2321,binary logarithm,"{x, log, n}",
2322,binomial coefficient,"{k, n}",
2323,binomial theorem,"{y, x, n}",
2324,birefringence,"{Δ, e, o, n}",
2325,birthday problem,"{p, None, n, P}",
2326,bisymmetric matrix,"{a, c, b, e, d, g, f, i, h}",
2327,blind signature,"{e, d, m, o, N, r}",
2328,blood flow,"{a, I, d, i, m, l, o, n, P, s, t, v, y, e}",
2329,blood volume,"{P, C, B, H, V}",
2330,bolted joint,"{e, d, P, K, p, r, T}",
2331,bounded function,"{x, M, f}",
2332,braid group,"{i, σ, B, j, n}",
2333,brightness,"{B, R, μ, G}",
2334,brightness temperature,"{c, e, I, h, k, T, ν}",
2335,buffer capacity,"{H, β, n, d, p}",
2336,bulk density,"{b, M, ρ, s, t, V}",
2337,capital accumulation,"{Y, s, K, Δ, k}",
2338,cardinal number,"{ℵ, α, n}",
2339,cardioid,"{a, cos, φ, r, y, x}",
2340,cartesian product,"{a, A, B, b}",
2341,cas function,"{cas, θ, cos, sin}",
2342,catenary,"{y, x, a, cosh}",
2343,catenoid,"{c, cos, cosh, u, v, x}",
2344,center of mass,"{i, r, R, m, n}",
2345,centered hexagonal number,{n},
2346,centered square number,"{C, n}",
2347,centrifuge,"{r, ω, g}",
2348,centrosymmetric matrix,"{a, A, b, i, j, n}",
2349,chain homotopy,"{A, B, d, g, f, h, n}",
2350,chain rule,"{g, f}",
2351,change of basis,"{S, r, E, C}",
2352,character table,"{α, β, g, G}",
2353,characteristic energy,"{a, c, C, o, n, s, r, μ, t, v, ϵ}",
2354,characteristic equation,"{I, A, λ}",
2355,characteristic polynomial,"{A, p, λ, I}",
2356,charge conservation,"{I, O, N, Q, U, t, T}",
2357,chord,"{c, d, cos, θ, r, sin}",
2358,circle bundle,"{A, F, d, π}",
2359,circle map,"{Ω, K, π, θ, n, sin}",
2360,circular cone,"{a, y, z, b, x}",
2361,circular cylinder,"{a, y, x}",
2362,circular hyperboloid of one sheet,"{a, x, b, y, z}",
2363,circular hyperboloid of two sheets,"{y, x, b, z, a}",
2364,circular paraboloid,"{a, y, z, x}",
2365,circumference,"{C, r, d, π}",
2366,circumradius,"{a, R, c, b}",
2367,cis(x),"{i, x, cos, cis, sin}",
2368,cissoid of Diocles,"{a, cos, φ, ρ, y, x, sin}",
2369,class (set theory),"{A, x}",
2370,classifying space for U(n),"{E, i, H, j, n, U, e, δ}",
2371,closed interval from −π/2 to +π/2,{π},
2372,closed-loop transfer function,"{Y, X, s, G, H}",
2373,codimension,"{codim, dim, W, V}",
2374,codomain,"{A, B, f}",
2375,coherence,"{c, τ, Δ, f}",
2376,cohomology operation,"{q, n, G, π}",
2377,cohomology ring,"{H, k, R, ℓ, X}",
2378,collaborative filtering,"{′, i, r, u, aggr, U}",
2379,color histogram,"{y, x, μ, H, f}",
2380,combination,"{k, n}",
2381,common logarithm,"{ln, x, log}",
2382,commutator,"{y, x}",
2383,comparative statics,"{a, x, f}",
2384,complement,"{A, x, B}",
2385,complementary cumulative distribution function,"{P, F, X, x}",
2386,complete metric space,"{X, x, d, g, f}",
2387,complex conjugate,"{i, z}",
2388,complex quadratic polynomial,"{θ, i, c, e, π}",
2389,compressible flow,"{i, d, v}",
2390,compression ratio,"{c, b, e, h, π, s, r, w, V}",
2391,conchoid of de Sluze,"{a, cos, θ, r, sec, y, x}",
2392,condition number,"{x, K, D, g}",
2393,configuration,"{p, γ, ℓ, π}",
2394,conformal dimension,"{dim, C, d, G, i, H, m, Y, X}",
2395,conformational isomerism,"{e, G, K, R, T, Δ}",
2396,conic section,"{A, C, B, E, D, F, y, x}",
2397,conical surface,"{a, c, b, y, x, z}",
2398,conifold,"{z, ψ}",
2399,connection,"{H, C, T, η}",
2400,conservation of angular momentum,"{c, i, L, o, n, s, t}",
2401,conserved current,"{Q, ∂, t}",
2402,conserved quantity,"{H, t, d}",
2403,consistent numerical method,"{x, n, g, F}",
2404,constant-recursive sequence,"{s, c, d, n}",
2405,context-free grammar,"{G, S, Σ, L, w}",
2406,continued fraction,"{a, None, b}",
2407,continuum hypothesis,"{ℵ, S}",
2408,convection–diffusion equation,"{c, D, ∂, ∇, R, t, v}",
2409,convergent numerical method,"{g, F, ∀, ∃, l, N, x, n, δ, ε}",
2410,convex lattice polytope,"{c, v, o, n}",
2411,convex set,"{u, k, λ, r, S}",
2412,copositive matrix,"{A, x, T}",
2413,core,"{C, e, H, s, o, S, r}",
2414,correlation function,"{d, G, r, exp, ξ, η}",
2415,cosecant,{cosec},
2416,cosine,{cos},
2417,cosmic distance ladder,"{m, M, log, D}",
2418,covariance,"{C, E, o, v, Y, X}",
2419,coversine,"{θ, sin, coversin}",
2420,creep,"{C, b, e, d, m, k, σ, Q, T, ε, t}",
2421,cross product,"{a, θ, b, sin, n}",
2422,cross section,"{j, σ, d, N}",
2423,crossed module,"{H, d, G}",
2424,crossing number,"{K, m, n}",
2425,cubic Hermite spline,"{p, m, t}",
2426,cubic function,"{a, c, b, d, f, R, x}",
2427,cumulative distribution function,"{X, F, x, P}",
2428,curve of constant width,"{A, C, L, π}",
2429,curved mirror,"{i, d, o, f}",
2430,cycle graph,"{C, n}",
2431,cyclic homology,"{A, Ω, C, d, i, H, n, R, V, D}",
2432,cyclic quadrilateral,"{α, β, γ, δ, π}",
2433,dagger compact category,"{A, σ, ε, η}",
2434,damping coefficient,"{τ, δ}",
2435,damping ratio,{ζ},
2436,de Moivre's formula,"{i, x, cos, sin, n}",
2437,decay energy,{Q},
2438,decimal representation,"{a, i, r, ∞}",
2439,deformation,"{E, σ, ε}",
2440,degree of freedom,{N},
2441,delayed neutron,"{E, d, F, Q, P, s, r, T, exp, t}",
2442,delta-functor,"{′, M}",
2443,dense graph,"{E, D, V}",
2444,dense set,"{a, ∀, A, n}",
2445,density,"{m, ρ, V}",
2446,depth,"{dim, e, d, h, M, p, t}",
2447,derivative,"{a, x, Δ, f}",
2448,derived category,"{Q, A, X, H}",
2449,determinant,"{A, a, i, σ, n, S, sgn}",
2450,dew point,"{a, b, H, p, R, T, γ}",
2451,diagonalizable matrix,"{A, D, ∃, n, S, GL, K}",
2452,dielectric loss,"{j, ε}",
2453,differential,"{y, x, d}",
2454,differintegral,"{q, D, f}",
2455,digamma function,"{ln, x, Γ, d, ψ}",
2456,digital filter,"{A, a, B, H, M, N, b, z}",
2457,dihedral group,"{i, s, r, j}",
2458,dilation,"{A, B, b}",
2459,direct product,"{h, g, n}",
2460,direct sum,"{W, V}",
2461,directivity,"{D, π, θ, P, U, ϕ}",
2462,discrete valuation ring,"{y, x, ν}",
2463,dispersion,"{c, v, n}",
2464,distance,"{y, x, z, Δ, d}",
2465,distance geometry,"{w, v}",
2466,distributive property,"{y, x, z}",
2467,divergence,"{F, ∂, ∇, n, x, div}",
2468,divisible group,"{r, G, o, T}",
2469,divisor,"{a, b}",
2470,divisor set,"{n, d, T, N}",
2471,dodecagonal number,{n},
2472,dominical letter,"{y, c}",
2473,double Mersenne number,"{a, e, d, i, M, m, n, p, s, r}",
2474,double factorial,"{k, n}",
2475,drag equation,"{A, C, D, F, ρ, v}",
2476,dragon curve,"{i, z, f}",
2477,drift velocity,"{μ, u, E}",
2478,drop,"{γ, π, d, F}",
2479,dynamic pressure,"{q, u, ρ}",
2480,e,"{n, e, ∞}",
2481,eccentricity vector,"{e, r, μ, v}",
2482,effect size,"{S, η}",
2483,effective potential,"{E, U}",
2484,effective radius,"{log, π, T, O, N}",
2485,efficiency gap,"{A, B, E, G, o, t, w, v}",
2486,efficient energy use,"{a, c, B, E, d, g, i, m, l, o, n, s, r, u, t, y, e}",
2487,eigenvectors and eigenvalues,"{λ, T, v}",
2488,elastic energy,"{U, k, Δ, x}",
2489,elastic modulus,{λ},
2490,electric dipole moment,"{q, p, d}",
2491,electric potential energy,"{E, d, f, q, s, r, U, e}",
2492,electric power,"{I, P, R, U}",
2493,electric susceptibility,"{χ, P, E, ε}",
2494,electrical conductance,"{I, R, G, V}",
2495,electrical reactance,"{X, C, π, ω, f}",
2496,electrical resistance,"{I, R, V}",
2497,electro-osmosis,"{U, ∇}",
2498,electromagnet,"{A, C, F, I, l, n}",
2499,electromotive force,"{A, c, B, E, d, s, ℓ}",
2500,electron,"{λ, v, f}",
2501,electron acceptor,"{A, I, Δ, E}",
2502,electron density,"{ρ, P, r, μ, ν, ϕ}",
2503,electronvolt,{c},
2504,electropermanent magnet,"{A, C, F, i, H, M, l, o, L, N}",
2505,electrostatic force microscope,"{a, c, e, F, i, ∂, l, o, s, r, t, V, C, z, Δ}",
2506,ellipse,"{y, x, b, a}",
2507,ellipsoid,"{a, c, b, y, x, z}",
2508,elliptic cone,"{a, c, b, y, x, z}",
2509,elliptic cylinder,"{a, x, b, y}",
2510,elliptic differential equation,"{A, C, B, E, D, G, F, u, y, x}",
2511,elliptic function,"{z, Λ, ℘, ω}",
2512,elliptic hyperboloid of one sheet,"{a, c, b, y, x, z}",
2513,elliptic hyperboloid of two sheets,"{a, c, b, y, x, z}",
2514,elliptic orbit,{ϵ},
2515,elliptic paraboloid,"{a, x, b, y, z}",
2516,elliptic rational function,"{c, d, K, L, n, R, ξ, x}",
2517,empty product,"{i, a, m, P}",
2518,endergonic reaction,"{Δ, G}",
2519,energy efficiency,"{Q, A, η}",
2520,entire function,"{a, n, f, z, ∞}",
2521,entropy,"{Q, S, δ, T}",
2522,epicycloid,"{θ, x, r, R, cos}",
2523,equaliser,"{E, g, f, q, X, x}",
2524,equation of exchange,"{Q, P, M, V}",
2525,equivalence relation,"{k, n, e, B, ∞}",
2526,error function,"{e, d, π, erf, t, x}",
2527,estimator,"{θ, x, e}",
2528,etale cohomology,"{Γ, F}",
2529,eutectic,"{α, β}",
2530,evolute,"{E, s, N, κ, R, γ}",
2531,excosecant,"{θ, excsc, csc}",
2532,expansive homeomorphism,{ε},
2533,expected value,"{X, k, E, p, x}",
2534,expenditure function,"{A, x, δ}",
2535,exponential family,"{A, f, h, θ, T, exp, X, x, η}",
2536,exponential function,"{x, b, f}",
2537,exponential growth,"{x, r, t}",
2538,exposure,"{H, E, t, e}",
2539,exsecant,"{θ, exsec, sec}",
2540,extensive function,"{A, a, f, ∀}",
2541,exterior derivative,"{d, g, i, φ, k, I, x}",
2542,factorial,"{k, n}",
2543,ferromagnetism,"{a, c}",
2544,fiber bundle,"{B, E, π}",
2545,figure-eight knot,"{cos, t, y, x, z, sin}",
2546,filling radius,"{a, C, d, F, i, l, R}",
2547,filter,"{H, B, μ}",
2548,fine-structure constant,"{c, e, ℏ, ε, π, R, μ, α, Z, k}",
2549,finite difference method,"{f, h, n, R, x, Δ}",
2550,finitely generated abelian group,"{q, Z, t, n}",
2551,first law of thermodynamics,"{Q, U, Δ, W}",
2552,fixed-rate mortgage,"{P, c, r, N}",
2553,flag,"{k, V}",
2554,flattening,"{a, b, f}",
2555,flip and flop,"{X, K, m, O, f}",
2556,fluctuation-dissipation theorem,"{k, B, μ, D, T}",
2557,folding,"{D, F}",
2558,folk psychology,"{i, P, s, E, k}",
2559,force,"{a, d, F, m, p, t}",
2560,force of infection,{λ},
2561,forcing,{V},
2562,fossil-fuel power station,"{h, c, T, η}",
2563,four-momentum,"{c, E, p, μ, y, x, z}",
2564,four-vector,{X},
2565,fractal dimension,"{ϵ, N, D, log}",
2566,fracture,"{a, c, E, i, h, σ, l, o, r, t, e, γ}",
2567,free fall,"{t, g, v}",
2568,free group,"{a, c, b}",
2569,frequency,"{T, f}",
2570,frequency mixer,"{e, D, I, k, n, q, S, T, V}",
2571,frequency modulation,"{A, c, d, f, τ, cos, π, t, y}",
2572,frequency multiplier,"{A, f, π, t, x, sin}",
2573,function,"{Y, X, f}",
2574,function composition,"{C, g, f}",
2575,function series,"{∞, x, f, n}",
2576,functional equation,"{A, X, C, Φ}",
2577,fundamental group,"{x, X, f}",
2578,fundamental matrix,"{A, x, t}",
2579,fundamental theorem of linear programming,"{x, c, T, P}",
2580,galvanostat,"{I, R, U}",
2581,gamma function,"{Γ, e, d, t, ∞, z}",
2582,gas,"{P, R, V, T, n}",
2583,gas constant,"{c, e, P, i, f, m, n, p, s, R, T, V}",
2584,gas law,"{P, r, o, V}",
2585,gauge,"{n, d, π}",
2586,gauge anomaly,"{ϵ, δ, F}",
2587,gear ratio,"{A, B, ω, M, N, r, v}",
2588,general Dirichlet series,"{a, e, n, s, λ, ∞}",
2589,general linear group,"{A, K, GL, n}",
2590,generalized mean,"{i, p, M, x, n}",
2591,generating function,"{a, x, n, G, ∞}",
2592,geometric distribution,"{X, k, p}",
2593,geometric lattice,"{y, x, r}",
2594,geometric mean,"{i, x, n}",
2595,geopotential,"{C, W}",
2596,global-warming potential,"{a, A, b, e, d, g, F, i, h, l, n, p, s, R, t, y}",
2597,golden ratio,{φ},
2598,graded Lie algebra,"{i, Z, g}",
2599,graded vector space,"{V, n, N}",
2600,gradient descent,"{a, γ, b, ∇, F}",
2601,granny knot,"{Δ, t}",
2602,granulometry,"{k, B}",
2603,graph isomorphism,"{H, f, G, V}",
2604,gravitational lensing,"{θ, c, r, M, G}",
2605,gray,"{G, g, k, J, m, s, y}",
2606,group,{G},
2607,groupoid,"{y, x, G}",
2608,half-space,"{a, x, b, n}",
2609,halved cube graph,"{Q, n}",
2610,happy number,"{m, n}",
2611,harmonic mean,"{i, x, H, n}",
2612,harmonic series,"{n, ∞}",
2613,harshad number,"{A, X, m, i, a}",
2614,hash chain,"{x, h, n}",
2615,haversine,"{θ, haversin, cos}",
2616,heat equation,"{α, ∂, u, t, ∇}",
2617,helicoid,"{cos, None, u, v, y, x, z, sin}",
2618,helium atom,"{e, i, H, ℏ, M, ∇, π, r, μ, ϵ, Z}",
