,formula_label,symbol_set,subject
1822,STO-nG basis sets,"{c, G, ψ, ), (, +, S, O, s, T, ϕ, −, =}",Physical sciences
1823,Saha ionization equation,"{B, e, g, i, (, k, ⁡, ], n, ), Λ, T, exp, +, ϵ, −, =, [}",Physical sciences
1825,Sample complexity,"{∫, E, d, ×, ), h, (, ], L, o, ,, y, s, ρ, X, Y, x, [, =}",Applied sciences
1826,Samuelson's inequality,"{⋯, +, ¯, n, x, =}",Auxiliary sciences of history
1827,Sangaku,"{+, r, =}",Humanities
1828,Sard's theorem,"{f, m, n, →, R, :}",Life sciences
1829,Sauerbrey equation,"{A, f, =, m, ρ, q, μ, −, Δ}",Physical sciences
1830,Scalar curvature,"{S, =, Ric, g, .}",Life sciences
1832,Scale factor,"{a, d, ), (, ,, t, =}",Life sciences
1833,Scale space,"{e, g, ), (, +, ,, /, π, t, y, x, ;, −, =}",Applied sciences
1834,Scale-invariant feature transform,"{A, ⋅, ∫, d, φ, ℏ, q, P, x, =}",Applied sciences
1835,Scale-space axioms,"{a, b, f, ), h, +, t, (, =, T}",Applied sciences
1836,Scatchard equation,"{a, ], K, L, n, r, [, −, =}",Life sciences
1837,Scatter matrix,"{¯, j, n, ∑, x, =}",Life sciences
1838,Schatten norm,"{), (, ≥, ∥, /, n, p, s, T, ∑, =}",Life sciences
1839,Schauder basis,"{b, ∞, n, v, ∑, α, =}",Life sciences
1840,Scherk surface,"{), (, +, ,, n, →, π, R, u, −, ×}",Life sciences
1841,Schmidt number,"{S, c, =, D, ν}",Life sciences
1842,Schnirelmann density,"{A, ∈, −, d, ), π, +, /, n, (, inf, Z, =}",Life sciences
1843,Schoen–Yau conjecture,"{∈, ), H, +, =, ,, <, R, (, y, x, {, }, |}",Life sciences
1844,Schottky effect,"{A, e, G, F, ), (, k, J, ,, T, W, =, −, Δ}",Physical sciences
1845,Schottky's theorem,"{−, log, f, ), (, +, ⁡, ≤, ,, max, z, |}",Life sciences
1846,Schreier refinement theorem,"{×, ), (, }, /, S, ◃, [, {, Z, ], id}",Life sciences
1847,Schreier's lemma,"{H, ¯, g, ∈}",Life sciences
1848,Schrödinger equation,"{Ψ, i, H, ℏ, ∂, ,, ), r, t, (, =, ^}",Life sciences
1849,Schrödinger group,"{j, i, =, k, J, ,, ϵ, ], [}",Life sciences
1850,Schur complement,"{A, C, B, D, S, −, =}",Life sciences
1851,Schur orthogonality relations,"{⟨, ∈, G, g, ⟩, ), (, ¯, ,, :=, ∑, α, β, |}",Life sciences
1852,Schur–Horn theorem,"{d, i, ≤, ,, N, λ, …, ∑, n, =}",Life sciences
1853,Schwarzschild radius,"{c, G, M, s, r, =}",Society
1854,Schwarz–Christoffel mapping,"{∈, C, Im, {, }, ζ, >}",Life sciences
1855,Secchi disk,"{−, e, I, k, z, =}",Life sciences
1856,Second-order arithmetic,"{), ∀, m, ∧, n, ∙, →, S, (, φ, X}",Life sciences
1858,Secondary polynomials,"{∫, d, ), (, ρ, n, q, p, R, t, x, −, =}",Life sciences
1859,Secondary vector bundle structure,"{E, ), (, +, ,, →, λ, T, ×, ∗}",Life sciences
1860,Segre class,"{A, +, P, R, t, =}",Life sciences
1861,Seiberg–Witten invariant,"{A, ϕ, =, D}",Life sciences
1862,Seiche,"{h, =, L, g, T}",Applied sciences
1863,Self-concordant function,"{″, ‴, f, ), (, ≤, /, x, |}",Life sciences
1865,Self-energy,"{+, Σ, =, G}",Life sciences
1866,Self-focusing,"{c, λ, n, P, r, α, π, =}",Applied sciences
1867,Self-ionization of water,"{a, ⋅, e, H, K, O, q, −, =, +}",Physical sciences
1868,Self-phase modulation,"{A, z, d, ), (, j, −, γ, =, |}",Physical sciences
1869,Semi-differentiability,"{a, ∈, ), f, I, (, +, ∂, →, lim, x, −, =}",Life sciences
1870,Semi-implicit Euler method,"{d, f, ), (, ,, t, v, x, =}",Life sciences
1871,Semi-orthogonal matrix,"{I, A, =, T, ∨}",Life sciences
1872,Semimartingale,"{A, +, M, t, X, =}",Applied sciences
1873,Semiparametric model,"{A, ∈, ), (, ⊕, S, U, V, α, =}",Life sciences
1874,Sensitivity analysis,"{C, π, =, L, f}",Professional studies
1875,Separation logic,"{), h, ,, ⊨, Q, P, s, (, −, ∗}",Life sciences
1876,Separation principle,"{a, ), e, g, i, h, l, n, p, s, r, u, t, (}",Applied sciences
1878,Sequence logo,"{a, log, ×, f, i, H, ,, ⁡, ∑, −, =}",Life sciences
1879,Sequent,"{A, B, ⊢, m, ,, n, …}",Society
1880,Sequential quadratic programming,"{⋅, C, f, i, (, N, ), ∑, =}",Applied sciences
1881,Sequential space,"{A, a, ∈, ], ∃, }, n, →, X, [, x, {, =, ,}",Life sciences
1882,Serpentine curve,"{a, b, +, ,, y, x, −, =, >}",Life sciences
1883,Serre's modularity conjecture,"{G, F, ), (, L, ρ, Q, →}",Life sciences
1884,Set theory of the real line,"{a, d, <}",Life sciences
1885,Set-theoretic limit,"{A, ≥, ⋂, ⋃, j, n, =}",Life sciences
1886,Shannon–Hartley theorem,"{C, B, log, ), (, +, N, S, ⁡, =}",Applied sciences
1887,Shape context,"{∈, #, ), i, h, k, =, ≠, q, p, (, {, −, }}",Applied sciences
1888,Shapiro delay,"{⋅, c, log, G, ), =, M, R, t, ⁡, (, x, −, Δ}",Applied sciences
1889,Shapiro–Wilk test,"{a, i, (, ¯, n, ), W, ∑, x, −, =}",Life sciences
1890,Shapley value,"{⊆, ∑, −, ∖, !, ∪, ), (, ,, ϕ, =, S, …, a, i, j, l, p, v, x, {, }, |}",Humanities
1891,Sharpe ratio,"{a, b, E, ], σ, S, r, v, R, −, =, [}",Auxiliary sciences of history
1892,Shell theorem,"{d, G, F, m, M, s, =}",Physical sciences
1893,Shifted Gompertz distribution,"{b, e, f, ), ], +, ≥, ,, (, x, ;, −, =, [, η}",Life sciences
1894,Shifted log-logistic distribution,"{F, ), (, +, σ, ,, /, μ, ξ, x, ;, −, =}",Life sciences
1898,Sierpiński's constant,"{), ln, lim, k, ⁡, ], n, →, r, −, ∞, ∑, (, [, π, =, K}",Life sciences
1899,Sigma Andromedae,"{X, ⋯, ,, ∗, ⊠}",Society
1900,Sign convention,"{), (, −}",Life sciences
1901,Signal reconstruction,"{e, i, (, k, π, ), t, =}",Applied sciences
1902,Signal velocity,"{c, s, r, v, =, ε}",Life sciences
1903,Signature operator,"{Ω, d, →, ), (, +, M, p}",Life sciences
1904,Signorini problem,"{a, i, h, k, j, ), W, (, x, =, ε}",Life sciences
1905,Silicon bandgap temperature sensor,"{i, ], ⋯, ,, ≠, n, U, …, }, x, {, =, [}",Applied sciences
1907,Simultaneous localization and mapping,"{), (, m, ,, o, P, t, x, |}",Applied sciences
1908,Singlet state,"{⟩, ), (, ↑↓, ↓↑, −, |}",Physical sciences
1909,Singleton bound,"{∈, C, d, min, ), (, ,, ≠, }, y, x, {, =}",Life sciences
1910,Singly and doubly even,"{q, a, b, =, ν}",Life sciences
1911,Singular measure,"{None, e, d, f, ), H, ≥, ,, (, x, ;, =, <, {}",Physical sciences
1912,Singular perturbation,"{≈, ψ, ), φ, =, N, (, ∑, x, n, δ, ε}",Life sciences
1913,Singular solution,"{′, ), (, +, ,, y, x, =}",Life sciences
1914,Singularity function,"{⟨, ⟩, +, m, N, w, x, −, =}",Life sciences
1915,Sinhc function,"{), (, Sinhc, sinh, ⁡, z, =}",Life sciences
1917,Six exponentials theorem,"{d, i, (, ≤, j, l, ,, ), exp, ⁡, y, x}",Life sciences
1918,Sliced inverse regression,"{a, ∈, b, +, ,, ⇒, U, _}",Applied sciences
1919,Sliding mode control,"{i, n, →, R, U, ϕ}",Applied sciences
1920,Sliding window based part-of-speech tagging,"{Γ, }, ,, …, {, γ, =, |}",Applied sciences
1921,Sloped armour,"{c, ), (, L, o, N, θ, s, T, =}",Applied sciences
1922,Slowly varying function,"{a, ), lim, L, →, (, ∞, x, =}",Life sciences
1923,Small-angle approximation,"{θ, sin, ≈, ⁡}",Life sciences
1924,Small-bias sample space,"{λ, c, n, P, r, α, π, =}",Life sciences
1926,Smooth number,"{Ψ, !, B, log, ∏, ), (, ≤, ,, π, p, ∼, ⁡, x}",Life sciences
1927,Snell envelope,"{X, =, U, N}",Life sciences
1928,Snell's law,"{v, n, θ, λ, ⁡, =, sin}",Physical sciences
1929,Snellius–Pothenot problem,"{C, +, π, α, y, x, β, −, =}",Society
1930,Sobolev inequality,"{k, n, q, p, ℓ, −, =}",Life sciences
1931,Sodium adsorption ratio,"{a, C, g, ), (, +, M, N, =}",Environmental studies
1932,Sol-air temperature,"{a, ⋅, ), I, h, +, =, l, o, Q, i, s, r, T, (, −, Δ}",Applied sciences
1933,Solar balloon,"{F, ), π, N, S, (, −, =}",Applied sciences
1934,Solenoid,"{B, I, l, N, μ, =}",Professional studies
1935,Solid-state nuclear magnetic resonance,"{d, ℏ, π, r, μ, γ, =}",Life sciences
1936,Soliton distribution,"{⋅, Ad, ), (, k, ⁡, v, X, =}",Life sciences
1937,Solvency ratio,"{a, e, i, m, n, p, s, r, u, t, w, ., ÷}",Life sciences
1938,Solving the geodesic equations,"{a, c, b, d, +, s, x, Γ, =}",Life sciences
1939,Sommerfeld identity,"{f, ), (, +, u, v, z, =}",Life sciences
1940,Sound energy density,"{V, =, w, W, d}",Applied sciences
1941,Souček space,"{Ω, ), lim, k, m, L, →, R, u, (, ∞, ;, =}",Life sciences
1942,Space cardioid,"{⁡, cos, ), (, k, j, ,, t, +, X, =, sin}",Life sciences
1944,Spearman's rank correlation coefficient,"{cov, ), (, σ, ,, ρ, s, r, rg, ⁡, Y, X, =}",Life sciences
1945,Specific fan power,"{F, q, P, S, v, ∑, =}",Physical sciences
1946,Specific force,"{a, c, e, g, F, i, M, l, o, n, s, r, t, v, −, =}",Physical sciences
1947,Specific relative angular momentum,"{h, =, m, L, →}",Professional studies
1948,Specker sequence,"{a, i, n, q, ∑, −, =}",Life sciences
1949,Spectral abscissa,"{A, λ, e, i, =, ), R, (, max, {, }, η}",Life sciences
1950,Spectral asymmetry,"{B, ω, ), lim, ⁡, n, →, t, exp, sgn, ∑, (, −, =, |}",Life sciences
1951,Spectral invariants,"{a, H, +, ⋯, α, x, =}",Life sciences
1952,Spectral risk measure,"{∫, d, F, ), (, M, p, X, ϕ, −, =}",Life sciences
1953,Spectral theory of compact operators,"{C, i, k, n, ⨁, Y, =}",Life sciences
1954,Spectrum of a matrix,"{A, ), =, ⋯, ,, n, λ, (, {, }}",Life sciences
1955,SpeedStep,"{P, C, V, =, f}",Professional studies
1956,Spekkens Toy Model,"{⟩, ⟺, |, ∨}",Physical sciences
1957,Sphere of influence,"{a, ≈, I, m, M, O, ), S, r, /, (}",Society
1958,Sphere–cylinder intersection,"{y, x, +, r, =}",Life sciences
1960,Spherical sector,"{h, r, π, =, V}",Applied sciences
1961,Spieker center,"{a, c, b, ), (, +, :}",Life sciences
1962,Spike-triggered covariance,"{A, C, ), i, (, S, n, ∑, s, T, y, x, −, =}",Life sciences
1963,Spin glass,"{E, F, χ, +, V, −, =}",Physical sciences
1964,Spin network,"{A, G, ), (, M, π, r, U, ×, y, =, ⊙}",Physical sciences
1965,Spin-exchange interaction,"{A, B, ), (, +, ↓, →, ↑}",Physical sciences
1966,Spinning drop method,"{E, k, s, γ, =, +}",Environmental studies
1967,Spinodal decomposition,"{+, ∂, ∇, y, x, z, =, ^}",Physical sciences
1968,Spitzer's formula,"{⁡, ), ], +, v, ,, n, (, [, u, t, exp, ∞, ∑, α, β, −, =, ϕ}",Life sciences
1969,Spring (mathematics),"{cos, ), (, +, ⁡, ,, r, u, v, x, R, =}",Life sciences
1970,Squeeze mapping,"{a, ↦, ), (, ,, /, y, x}",Life sciences
1971,Squeeze operator,"{a, −, e, †, i, (, ,, θ, ), S, r, exp, ⁡, z, =, ∗, ^}",Physical sciences
1972,Stabilizer code,"{c, ′, E, F, ln, (, K, n, ), R, T, ⁡, =, +}",Life sciences
1973,Stagnation point,"{C, q, p, ∞, −, =}",Physical sciences
1974,Stagnation pressure,"{P, +, =, ρ, v}",Physical sciences
1975,Stagnation temperature,"{h, +, =, V}",Physical sciences
1978,Standard asteroid physical characteristics,"{a, d, ), (, μ, ν, =}",Society
1979,Standard linear solid model,"{E, s, =, σ, ε}",Environmental studies
1980,Standard normal table,"{Z, σ, μ, X, −, =}",Humanities
1981,Standard probability space,"{A, ∩, B, ), (, +, m, p, ∪, mes, ⁡, −, Z, =, ∖}",Life sciences
1982,Standard translation,"{→, ), ∀, ◻, ,, p, S, R, T, (, y, x}",Life sciences
1983,Standardized moment,"{∫, E, d, ), (, t, ∞, x, −, =, |}",Auxiliary sciences of history
1984,Static forces and virtual-particle exchange,"{A, ), (, }, t, V, {, −, =, T}",Physical sciences
1985,Stationary phase approximation,"{∫, ), e, d, g, f, I, (, k, i, x, =}",Life sciences
1986,Stefan–Boltzmann law,"{c, h, k, σ, π, =}",Life sciences
1987,Stein factorization,"{∘, ′, =, g, f}",Life sciences
1988,Stein's example,"{), (, ,, N, θ, ∼, X}",Applied sciences
1989,Stein's method,"{⋅, e, ), (, +, L, y, x, −, =}",Auxiliary sciences of history
1990,Steinhart–Hart equation,"{A, C, B, ln, =, +, ⁡, ), R, T, (, [, ]}",Physical sciences
1991,Steinhaus theorem,"{A, a, b, ∈, =, ∣, ,, {, −, }}",Life sciences
1992,Sterling ratio,"{−, %, ), (, ., =, A, C, B, D, O, S, R, a, d, g, m, l, o, n, p, u, v}",Professional studies
1993,Stewart–Walker lemma,"{), h, +, L, O, T, (, X, ϵ, =, ∗}",Life sciences
1994,Sticking coefficient,"{a, d, +, m, P, =}",Physical sciences
1995,Stieltjes constants,"{!, −, ), (, +, n, s, ∞, ∑, γ, =, ζ}",Life sciences
1996,Stirling numbers of the second kind,"{!, ), (, k, j, }, n, ∑, {, −, =}",Life sciences
1997,Stirling's approximation,"{!, ln, (, +, O, n, ), ⁡, −, =}",Life sciences
1998,Stochastic Eulerian Lagrangian method,"{a, A, c, B, f, F, M, o, r, T, V, =, ∗, t}",Life sciences
1999,Stochastic chains with memory of variable length,"{), (, n, P, ξ, −, =, ε}",Life sciences
2000,Stochastic control,"{=, +, Q, ∑, S, R, u, t, y, [, ], T}",Applied sciences
2001,Stochastic processes and boundary value problems,"{∈, None, D, g, ), (, ∂, ,, ., →, u, =, lim, y, x, ;, −, Δ, {}",Life sciences
2002,Stock and flow,"{D, g, I, (, K, n, ), t, −, =, d}",Professional studies
2003,Stokes flow,"{⋅, f, +, ∇, P, =}",Life sciences
2004,Stokes number,"{k, l, S, u, t, =}",Physical sciences
2005,Stokes wave,"{A, E, ρ, t, v, =}",Physical sciences
2006,Stokes' law,"{d, F, π, R, μ, V, =}",Physical sciences
2007,Stokes' paradox,"{a, −, f, ), (, +, ⋯, n, z, =, >}",Life sciences
2008,Stolz–Cesàro theorem,"{a, b, lim, +, n, →, ∞, −, =}",Life sciences
2009,Stone's theorem on one-parameter unitary groups,"{∈, ), (, R, U, t}",Life sciences
2010,Strain rate,"{), (, L, t, ϵ, −, =}",Physical sciences
2011,Strain wave gearing,"{−, =}",Professional studies
2012,Strategic complements,"{F, ), (, +, ,, /, p, U, y, x, ;, −, =}",Life sciences
2014,Streaming algorithm,"{h, m, L, ,, →, [, −, ]}",Applied sciences
2015,Stretched exponential function,"{e, f, ), (, t, β, −, =}",Life sciences
2016,Strictly positive measure,"{∈, ), ∀, ∅, ,, ≠, μ, T, (, U, >}",Life sciences
2017,String operations,"{), (, s, Alph, ⁡}",Life sciences
2018,Strong topology,"{′, ), (, σ, ≃, ,, Y, X}",Life sciences
2019,Strophoid,"{a, cos, +, ρ, ⁡, y, x, ϕ, −, =, |}",Life sciences
2020,Sturmian word,"{w, ), (, +, n, θ, ⌋, ⌊, x, −, =}",Life sciences
2021,Sub-Gaussian random variable,"{∫, −, e, d, ), (, n, s, ∞, x, Γ, =}",Life sciences
2022,Subnormal operator,"{A, C, B, ], N, [, =}",Life sciences
2023,Subnormal subgroup,"{G, H, k, ,, …, =}",Life sciences
2024,Subobject classifier,"{c, g, f, ), lim, ., →, (, x}",Life sciences
2025,Subquotient,"{g, G, ψ, ), (, J, ∘, ,, →, ϕ, :, =, ↦}",Life sciences
2026,Subsequence,"{a, A, C, B, E, D, G, ⟩, =, ,, n, X, ⟨, d}",Life sciences
2027,Subspace topology,"{∩, ∈, }, ∣, τ, S, U, {, =}",Life sciences
2028,Substructural logic,"{Σ, Γ, ⊢}",Life sciences
2029,Subtractor,"{B, D, i, ⊕, Y, X, =}",Life sciences
2030,Sudan function,"{F, ), (, +, ,, y, x, =}",Life sciences
2031,Sulston score,"{⟨, ⟩, C, ⋯, E, G, ), =, j, m, ,, /, P, t, (, −, ×}",Life sciences
2032,Summation equation,"{f, i, (, k, m, ,, n, ), s, t, ∑, x, =, +}",Life sciences
2033,Super-resolution optical fluctuation imaging,"{C, log, f, ), (, ≤, ⁡, ∥, L, N, →, ∞, −, ,}",Life sciences
2034,Supercommutative algebra,"{), (, y, x, −, =, |}",Life sciences
2035,Superdense coding,"{A, ⟩, B, ), (, +, ⊗, =, |}",Physical sciences
2036,Superellipse,"{a, b, +, n, y, x, =, |}",Life sciences
2037,Superellipsoid,"{), (, ≤, /, r, t, +, y, x, z, |}",Society
2038,Supermembranes,"{), (, k, σ, ,, O, θ, μ, X, x, =, +}",Life sciences
2039,Supermodule,"{=, ⊕, E}",Life sciences
2041,Superperfect number,"{), (, =, σ, n}",Life sciences
2042,Supersingular elliptic curve,"{None, ≅, E, ), (, K, ¯, /, p, r, {, Z, ], [}",Life sciences
2043,Supersolvable group,"{G, H, ⋯, }, s, ◃, {, −, =}",Life sciences
2044,Surface photovoltage,"{b, e, d, f, k, τ, l, s, u, =, +}",Life sciences
2045,Suspension polymerization,"{⋅, C, d, k, ¯, m, l, N, s, R, ν, v, ϵ, =, D}",Physical sciences
2046,Swap regret,"{a, i, (, j, L, ), s, w, ∑, =}",Life sciences
2047,Sylow theorems,"{!, ), (, ≡, p, −, mod}",Life sciences
2049,Symmetric closure,"{∈, ∪, ), =, ,, S, R, (, y, x, {, }}",Applied sciences
2050,Symmetric decreasing rearrangement,"{A, ∈, ω, ⋅, }, n, R, x, {, =, <, ∗, |}",Life sciences
2051,Symmetric spectrum,"{→, +, ⋯, ∧, n, p, S, X, −}",Life sciences
2052,Symmetrically continuous function,"{f, ), lim, +, →, (, h, x, −, =}",Life sciences
2053,Symmetry in quantum mechanics,"{Ω, ′, ψ, ), (, ,, r, t, =, ^}",Life sciences
2054,Symplectic integrator,"{H, ∂, q, p, ˙, −, =}",Life sciences
2055,Symplectic manifold,"{d, ω, ), (, V, L, H, =}",Life sciences
2056,Symplectic representation,"{ω, F, →, V, :, ×}",Life sciences
2057,Synchronization of chaos,"{′, F, ), (, +, x, y, α, −, =}",Life sciences
2058,Synchrotron function,"{∫, d, F, ), (, K, t, ∞, x, =}",Life sciences
2059,Synthetic Aperture Ultrasound,"{∈, ′, g, ⋅, ), M, m, ∘, (, =}",Physical sciences
2060,Szegő kernel,"{↦, f, ), (, P, z}",Life sciences
2061,T pad,"{a, c, e, d, g, f, i, h, m, o, n, p, r, t, Z}",Physical sciences
2062,T-J model,"{a, ), (, /, θ, r, sec, ⁡, =}",Physical sciences
2064,T-duality,"{c, e, i, φ, +, m, ≠, n, θ, ), R, (, ∑, x, =}",Physical sciences
2066,TRevPAR,"{A, a, b, e, /, i, m, l, o, n, P, s, R, u, T, v, =, t}",Professional studies
2067,Table of Clebsch–Gordan coefficients,"{), (, +, =}",Humanities
2068,Tangent half-angle formula,"{+, ⁡, α, tan, =, sin}",Life sciences
2069,Tangential and normal components,"{∥, ⊥, =, +, v}",Life sciences
2070,Tanh-sinh quadrature,"{tanh, ), (, π, t, sinh, ⁡, x, =}",Physical sciences
2071,Tanner graph,"{−, ), (, ≥, m, R, r}",Life sciences
2072,Target Motion Analysis,"{A, B, O, S, R, −, r, =}",Applied sciences
2073,Tautological one-form,"{q, d, i, θ, p, ∑, =}",Physical sciences
2075,Taylor series,"{a, !, ″, ′, f, ), (, +, ⋯, x, −}",Life sciences
2077,Teichmüller character,"{lim, ω, p, ), (, n, →, ∞, x, =}",Life sciences
2078,Teichmüller space,"{∈, C, ), (, Im, ⁡, {, z, }, >}",Life sciences
2079,Telecine,"{−, =}",Applied sciences
2080,Telescoping Markov chain,"{∈, ×, ), (, k, ,, N, θ, S, ., =}",Applied sciences
2081,Tellegen's theorem,"{b, F, k, W, ∑, =}",Physical sciences
2082,Temperature dependence of liquid viscosity,"{b, ), (, μ, T, exp, ⁡, −, =}",Environmental studies
2083,Temperature jump,"{d, ln, H, K, =, o, ., R, T, ⁡, Δ}",Physical sciences
2084,Tensor density,"{⋅, =, ∇, f}",Life sciences
2085,Tensor-hom adjunction,"{≅, ), (, Hom, ,, ⊗, ⁡, Y, X, Z}",Life sciences
2086,Tent map,"{min, =, f, ,, μ, x, {, −, }}",Life sciences
2087,Term symbol,"{), i, (, l, ,, P, ∑, −, =}",Physical sciences
2089,The Complexity of Songs,"{k, ≥, ,, S, V, ϵ, −, =}",Society
2091,The Product Space,"{Pr, ≥, min, i, }, ∣, j, ,, ), (, x, ϕ, =, {}",Humanities
2092,Theorem on friends and strangers,"{), (, R, =, ,}",Life sciences
2093,Theory of reasoned action,"{A, B, I, (, +, N, ), S, W, =}",Society
2094,Thermal de Broglie wavelength,"{A, ∫, E, d, ), (, +, τ, t, ∞, −, =, ∗}",Auxiliary sciences of history
2096,Thermal mass,"{C, h, =, Q, t, Δ, T}",Physical sciences
2097,Thermal shock,"{E, ), (, k, σ, R, T, α, −, =, ν}",Applied sciences
2098,Thermodynamic integration,"{A, B, ), (, +, λ, U, −, =}",Applied sciences
2099,Thermodynamic limit,"{∞, ,, /, N, →, V, =}",Physical sciences
2101,Thom conjecture,"{d, g, ), (, ≥, /, −}",Life sciences
2102,Thompson groups,"{A, ⟩, B, d, i, =, ∣, ,, [, −, ], ⟨}",Life sciences
2103,Thomson problem,"{e, i, (, k, j, N, ), r, U, =}",Physical sciences
2104,Thomson scattering,"{⋅, ), i, (, K, ,, N, p, T, v, ∑, =}",Physical sciences
2105,Thomson's lamp,"{), [, ⋯, ,}",Life sciences
2107,Time of flight detector,"{c, ≈, ), =, m, L, p, t, v, (, −, δ}",Humanities
2108,Time value of money,"{F, ), (, +, P, r, V, =}",Life sciences
2109,Time–frequency analysis,"{e, ψ, ), (, σ, π, t, −, =}",Applied sciences
2111,Titration curve,"{a, log, ), H, K, =, p, (, ⁡, [, ], +}",Life sciences
2112,Toda bracket,"{g, f, h, →, W, Y, X, Z}",Life sciences
2113,Toda–Smith complex,"{→, S}",Life sciences
2115,Topological conjugacy,"{g, f, h, ∘, −, =}",Life sciences
2116,Topological indistinguishability,"{∈, }, ≤, ⁡, ↓, X, y, x, {, =}",Life sciences
2117,Topology optimization,"{Ω, ∫, d, min, ), (, ρ, ϕ}",Professional studies
2118,Torricelli's equation,"{a, d, f, i, =, +, v, Δ}",Physical sciences
2119,Torsion of a curve,"{b, ×, ,, n, κ, ′, t, =}",Life sciences
2120,Total curvature,"{a, ∫, b, d, ), (, k, s}",Life sciences
2121,Total maximum daily load,"{A, D, +, M, L, O, S, T, W, =}",Environmental studies
2122,Touschek effect,"{A, a, C, b, ,, ⁡, tan, =}",Physical sciences
2123,TraPPE force field,"{log, d, i, (, +, W, ), t, ξ, ⁡, ∑, X, γ, =, ν}",Physical sciences
2124,Trace distance,"{), =, σ, ,, ρ, †, r, T, (, [, −, ], |}",Physical sciences
2125,Tractive effort,"{c, d, P, s, t, =, D}",Professional studies
2126,Trailing zero,"{−, =}",Life sciences
2127,Transconductance,"{g, I, Δ, m, V, =}",Categories by parameter
2128,Transfer operator,"{∈, g, f, ), (, L, Φ, ∑, y, x, −, =}",Life sciences
2129,Transfer-matrix method,"{cos, +, n, θ, P, W, ⁡, Y, X, =, sin}",Auxiliary sciences of history
2131,Transmission disequilibrium test,"{b, i, h, +, j, ), (, −, =}",Life sciences
2132,Transvectant,"{Ω, ), (, ⋯, n, Q, ⊗, r, t}",Life sciences
2133,Treynor–Black model,"{−, F, i, (, +, M, ), R, α, ϵ, r, =, β}",Life sciences
2134,Trident curve,"{a, c, b, d, +, y, x, =}",Life sciences
2135,Trigamma function,"{z, d, ψ, ln, (, ), ⁡, Γ, =}",Life sciences
2136,Trivialism,"{∀, T, p}",Life sciences
2137,Trochoidal wave,"{ϕ, −, ∥, ψ}",Physical sciences
2138,Trouton's ratio,"{a, b, ≈, g, i, K, J, m, l, o, L, p, T, v, −, n}",Environmental studies
2139,True arithmetic,"{a, #, d, f, i, φ, l, o, n, θ, ), ⊨, (, y, N, _}",Life sciences
2140,Truncated tesseract,"{), (, +, ±, ,}",Life sciences
2141,Trust region,"{a, c, f, ), =, +, l, u, t, (, x, −, Δ}",Life sciences
2142,Tschirnhausen cubic,"{a, cos, ), (, +, /, θ, r, ⁡, y, x, −, =}",Life sciences
2143,Tsiolkovsky rocket equation,"{f, ln, =, ⁡, m, v, Δ}",Professional studies
2144,Tsirelson's bound,"{A, ⟩, B, ≤, −, ⟨, +}",Physical sciences
2145,Tukey lambda distribution,"{ω, ), (, ≤, σ, Φ, n, P, μ, X, −, =}",Life sciences
2146,Tunnell's theorem,"{ω, g, i, n, ∑, ≈, w, y, =}",Life sciences
2148,Tutte matrix,"{A, ∈, E, i, ∀, j, ,, ∉, ), u, ∧, v, (, x, =}",Life sciences
2149,Tweedie distribution,"{a, E, p, ), =, Y, (, ⁡, Var, [, ]}",Life sciences
2150,Two-dimensional flow,"{¯, i, (, +, j, ,, ), t, v, y, x, z, =, ^}",Physical sciences
2151,Two-photon absorption,"{c, e, I, (, ), α, x, −, =}",Physical sciences
2152,Two-point tensor,"{q, e, ), (, Q, p, ⊗, =}",Life sciences
2153,Ultrafinitism,{e},Life sciences
2154,Ultralimit,"{∈, d, ω, ), (, ≤, ,, n, x, ϵ, }, {}",Life sciences
2155,Ultrametric space,"{d, M, →, R, :, ×}",Life sciences
2156,Ultraviolet photoelectron spectroscopy,"{E, I, h, K, ν, −, =}",Physical sciences
2157,Unary coding,"{), (, n, P, ⁡, −, =}",Life sciences
2158,Undersampling,"{f, H, ≤, L, n, s, −}",Applied sciences
2159,Uniform boundedness principle,"{∈, F, ), (, sup, ∥, T, ∞, Y, x, <}",Life sciences
2160,Uniformization theorem,"{E, d, G, F, +, s, y, x, =}",Life sciences
2161,Uniformly Cauchy sequence,"{∈, d, g, f, ), (, ,, S, u, sup, x, =}",Life sciences
2162,Uniformly distributed measure,"{B, ), (, +, r, μ, ∞, y, x, =, <}",Life sciences
2163,Unimodular lattice,"{a, b, +, ⋯, m, ., n, −}",Life sciences
2164,Unit disk,"{D, ), (, =, <, ., Q, P, {, −, }, |}",Life sciences
2165,Unitary representation,"{G, ), H, π, →, U, (, ⁡}",Life sciences
2166,Univalent function,"{a, −, ), (, ¯, ϕ, z, =}",Life sciences
2167,Upper hybrid oscillation,"{B, e, ), (, k, /, n, T, ϕ, −, =}",Physical sciences
2168,Upper-convected Maxwell model,"{D, +, ∇, λ, T, =, η}",Environmental studies
2169,Upwind scheme,"{a, None, i, =, +, n, u, t, x, {, −, Δ, <, >}",Life sciences
2170,Urania Propitia,"{⋅, e, M, ⁡, E, −, =, sin}",Society
2171,Ursell number,"{), H, λ, U, (, h, =}",Physical sciences
2172,V-Cube 6,"{!, ×, ≈}",Life sciences
2173,V-statistic,"{⋅, chord, ), (, π, θ, ∘, ⁡, =, sin}",Life sciences
2174,Vacuum angle,"{Ψ, A, d, ), (, =, ,, U, ϕ, −, ], [}",Physical sciences
2175,Vague topology,"{∫, d, f, I, (, ), μ, X, =}",Life sciences
